Hugo_Symbol	Entrez_Gene_Id	MB_1	MB_2	MB_3	MB_Endothelial.cells
AL627309.1	NA	0.0114192757755518	0.0069487551227212	0.0139885814860463	0
AP006222.2	NA	0.00115274207200855	0.00350010697729886	0.00347605324350297	0
LINC01409	105378580	0.0405599251389503	0.0355219468474388	0.0570464730262756	0.0459792464971542
LINC01128	643837	0.0637917444109917	0.0838833376765251	0.0844853222370148	0.0941363945603371
LINC00115	NA	0.0171078853309155	0.0196260772645473	0.0320153571665287	0.0577035620808601
FAM41C	284593	0.0164309963583946	0.00705435546115041	0.0196113977581263	0.00941450893878937
LINC02593	100130417	0.0726530775427818	0.0817831829190254	0.0882193893194199	0.0615954846143723
SAMD11	148398	0.187582448124886	0.216095834970474	0.248901948332787	0.111761890351772
NOC2L	26155	0.513281345367432	0.541759669780731	0.637015819549561	0.53738796710968
KLHL17	339451	0.144890546798706	0.16887541115284	0.163273185491562	0.223322570323944
PLEKHN1	84069	0.0295273214578629	0.0392396375536919	0.0466108396649361	0.0674541741609573
PERM1	84808	0.0228877086192369	0.0101974699646235	0.027209272608161	0.0163925904780626
AL645608.7	NA	0.0373246371746063	0.0442039743065834	0.0407490953803062	0.0530123747885227
HES4	57801	0.979492783546448	1.01762175559998	1.09083986282349	1.090700507164
ISG15	9636	3.33629250526428	3.29830431938171	3.10841703414917	3.09908080101013
AGRN	375790	0.453562945127487	0.41145783662796	0.569682955741882	0.742367208003998
RNF223	401934	0.0319064669311047	0.025833522900939	0.0416374169290066	0.0457045510411263
C1orf159	54991	0.180021107196808	0.197491258382797	0.218191087245941	0.200409531593323
LINC01342	254099	0.023450706154108	0.0265585537999868	0.0419732145965099	0.0155817642807961
AL390719.2	NA	0.0983554497361183	0.0802813023328781	0.158640637993813	0.0902812629938126
TNFRSF18	8784	0.444489240646362	0.541029930114746	0.436633884906769	0.489200860261917
TNFRSF4	7293	0.25623083114624	0.498243510723114	0.171240344643593	0.496878772974014
SDF4	51150	0.925718903541565	1.06377804279327	1.02335941791534	1.14076435565948
B3GALT6	126792	0.285074293613434	0.287621289491653	0.357897281646729	0.365767776966095
C1QTNF12	388581	0.0147081082686782	0.0181632097810507	0.0223816931247711	0.0162090864032507
UBE2J2	118424	0.438120454549789	0.510296821594238	0.516198813915253	0.526417136192322
SCNN1D	6339	0.113312236964703	0.120675601065159	0.125587910413742	0.130665868520737
ACAP3	116983	0.352145075798035	0.452686816453934	0.413435250520706	0.510519564151764
PUSL1	126789	0.192169591784477	0.204494059085846	0.251156628131866	0.232420176267624
INTS11	54973	0.627151846885681	0.743438124656677	0.727887392044067	0.730433106422424
CPTP	80772	0.230352997779846	0.29582154750824	0.254611551761627	0.211653515696526
TAS1R3	83756	0.0160237476229668	0.0388189628720284	0.0150861451402307	0.043105311691761
DVL1	1855	0.390367090702057	0.409335792064667	0.432552963495255	0.372088402509689
MXRA8	54587	1.08537197113037	1.29836821556091	0.907091856002808	1.23574101924896
AURKAIP1	54998	1.22507524490356	1.30012357234955	1.30933153629303	1.34735870361328
CCNL2	81669	0.720142066478729	0.860815942287445	0.842129170894623	1.01009452342987
MRPL20-AS1	148413	0.11388673633337	0.144450128078461	0.183128073811531	0.118281774222851
MRPL20	55052	0.947643280029297	0.926416397094727	1.13848555088043	0.913204669952393
AL391244.2	NA	0.0128765655681491	0.0133659346029162	0.024573327973485	0.0162263792008162
ANKRD65	441869	0.125382453203201	0.125268876552582	0.0882408693432808	0.257118701934814
LINC01770	NA	0.038178164511919	0.0450579077005386	0.0505611561238766	0.0507022328674793
VWA1	64856	1.1234005689621	1.14691209793091	1.17419040203094	1.7372750043869
ATAD3C	219293	0.056545116007328	0.0828479304909706	0.0724999010562897	0.0553492456674576
ATAD3B	83858	0.287867397069931	0.340316653251648	0.302567780017853	0.262446612119675
ATAD3A	55210	0.313171803951263	0.367575228214264	0.350273460149765	0.300299823284149
TMEM240	339453	0.0179271288216114	0.0299183204770088	0.0236721485853195	0.0101505853235722
SSU72	29101	0.998930692672729	1.01967632770538	1.15873742103577	1.1306848526001
AL645728.1	NA	0.00359635311178863	0.0055570462718606	0.00343455001711845	0.00713948858901858
FNDC10	643988	0.377523124217987	0.374564200639725	0.444522440433502	0.338645577430725
AL691432.4	NA	0.00807446893304586	0.00451575592160225	0.0141989262774587	0
AL691432.2	NA	0.0373403839766979	0.0319751016795635	0.0561050549149513	0.043977789580822
